sentiment,text,data_id
positive,"Great value, perfect fit.  Still working after 7 months.",20
positive,"Great little filters, no more grains only pure coffee...",20
positive,Worked well!,20
positive,Works great 👍,20
negative,"From this week on, the range hood often goes downtime intermittently: when my wife was cooking, the machine suddenly went down on its own, and the button didn't respond and couldn't be restarted. It could be started after a period of time (such as an hour). This phenomenon occurs more and more frequently. Bad experience, I has applied for repair, if the manufacturer can not solve, I will make a high claim from Amazon.com.",20
positive,Really happy with this egg storage bin.  Love that it has a drawer so you dont have to pull the unit out of fridge to get an egg.  It is sturdy so you can set things on top of it.  I recommend this item.,20
positive,Very functional. Performs it's intended functions. Very nice for the money and works very well,20
positive,I have gotten these replacements more then once.  Great value,20
positive,"I ordered this product because I was not satisfied by the drain hose that was included in my new Whirlpool washing machine. This product is well designed and well made; quite sturdy. The end that connects to the washer is universal and is designed to fit different drain sizes; I cut the end to suit my washer. This is fine. The hose clamp that is included is an aircraft quality hose clamp; my choice forall applications that require a hose clamp.<br /><br />Overall, a very good product and I recommend this product!",20
positive,I ordered this for our keurig 2.0 oasis(K200) and we absolutely love the items. With ours I tested out the reusable filter cups without using the full menu clip and they worked fine. I think that if you're looking for reusable filters for Kcup and Kcarafe this is the way to go. You get everything you need and it's a great deal.<br />I would definitely recommend this!,20
positive,"Work perfectly.  2 for the normal 1 price.  A serious design flaw means these filters get clogged quickly.  I use a soft brush and my shop vac to clean the filter each time I empty the canister.  Even still, I have to replace this filter periodically.",20
positive,"It's everything I was looking for in a compact washing machine. Really does a great job getting my things clean!  Also love how easy it is to move around.  The spin/dry feature is wonderful too! I am very happy with my purchase, which by the way, is very reasonably priced for what you get.  I've used it quite a few times already and actually enjoy doing my laundry now!  Thank you for this great little machine!",20
negative,"First filter I bought was great, made the water taste like the GE filter. The second one however makes the water taste like plastic....",20
positive,good,20
positive,great replacement filter,20
positive,So happy with these filters.,20
negative,"I bought this for a Frigidaire air conditioner.  Once received, the D section to fit over the unit/knob was not long enough.",20
positive,Exact replacement for my Aprilaire 500,20
positive,"This device works great especially with pots and pans designed for Induction. I purchased a number if the T-Fal pans that has the induction logo and they are very good. My only criticism of the Max Burton is with the granularity of the settings. The jumps between temperature settings could be finer. Hence four stars and not five.<br /><br />My main reason for purchasing the Max Burton was to see how well induction cookers perform. I am in the market for a new stove top  or complete stove, and based on my experiences with the Max Burton, I will definitely be purchasing an induction cook top or complete stove.<br /><br />It amazes me that these devices are not more popular in the US as they are in Europe. Having read some of the reasons people give e.g. needing special pots etc. rather stupid. A parallel can be drawn here with the excuses for not buying Diesel automobiles. Again, rather stupid.",20
negative,Water flows very very slow...takes 3x longer to make a pot of coffee..disappointed,20
positive,The product makes plenty of perfect ice. Set up was easy with the correct parts.,20
negative,"Partially shipped, never received the full order, and can’t get a replacement or a refund .. highly disappointed..",20
negative,This product has serious safety issues! Buy it only if you are tired of your life! I really do not understand why Amazon let such a low quality product to still be on its site!! Obviously safety of customers has no priority here :((,20
positive,"[[VIDEOID:ce138567ae346678f73b2513e773a64b]] Small enough for counter, big enough for two people's dishes, glassware, & silverware.  Quiet, and very very  clean dishes.",20
negative,"My filter only lasted a month, very disappointing. I have order from seller before with no issuse, maybe my mine was defective. But disappointing since it was $50 and one would hope they last longer.",20
positive,Replaced 20 year old bulbs in Kenmore (Whirlpool) over/under freezer/refrigerator in the fridge section.  Fits in the slot length and width and illuminates similar to a restaurant/store cold drink fridge.  Not super bright but clearly.  Seems our food is easier to see now.,20
positive,Best price,20
positive,Arrived timely and in good condition. Fit my Samsung refrigerator perfectly. Rated NSF standard 53 which removes most chemical contaminates. Recommended.,20
positive,"Bought for my kennmore dishwasher, works great. Exactly what I expected. Very large so measure to make sure it fits. Fits all our silverware for our big family.",20
positive,Worked perfectly.  I also got one for  friend.,20
positive,"No real complaints, some of the abbreviations in the LED display could be clearer, I have to look up till I memorize but otherwise does the job. I have to say the sensor is very responsive, as soon as I open the door to the terrarium it immediately sense is a change in humidity and activates the humidifier connected to it",20
positive,Does the job,20
positive,Direct replacement. Would have thought the indicator that shows you when to replace the filter would have come with the filters.,20
positive,zi like this product because it keeps my coffee maker from undesired taste,20
positive,This is the best little ice maker ever<br />Makes little ice cubes and larger ice cubes,20
positive,Look just as described,20
positive,"Makes ice pretty quickly. I definitely recommend cleaning with lemon juice before use, because ours had a plastic taste. Once I let lemon juice sit in the water storage tank and ran some through the machine it was fine. Love the machine.",20
negative,"This product did get my dryer fixed, however two of the rollers that came with the kit did not fit the axles on my dryer. The back two are different size than the front two, The belt tensioner on my dryer was the problem that needed replacing and that worked out fine, however since I had the dryer completely apart, I wanted to go ahead and change out the four rollers as well. I could only change out two of them. All in all though, it did get my dryer back working.",20
positive,Nice customer service,20
positive,switch was correct part .packed well .price was about one half the store price saved a lot of time thanks<br />Frigidaire 134936800 lock switch for washer,20
positive,"Took a while to find this part as LG changed/discontinued the original part number for my gas range top. This replacement fit perfectly for my model LG gas range top. The anodized coating for the original griddle and this replacement is not as durable as it should be, so I expect I will need another griddle plate in 4-5 years. :( The next gas range will have a more durable griddle.",20
positive,"Did not purchase to be a milk frother, instead I use it for candle making. These are very nice and great quality.",20
positive,This is a great tool for doing what we don't do often enough - clean coils under our fridge.  Used on a Whirlpool & a Samsung.  Did the trick.,20
negative,"These did not fit my stove even though the listing states it would fit my Fridgidare stove.  It's nearly impossible to find ""universal"" replacement knobs for a stove.  All I needed was the connector that fits inside the knob to the mechanism on the stove.  I threw money away on these.  Do not order.  They will not work for you.",20
positive,Works perfectly with our Kenmore Fridge! and a super price,20
positive,Love,20
positive,Fit my model as stated dish washer works again!,20
positive,Works great and fits perfectly in fridge!,20
positive,"Works beautifully, no mess",20
positive,Easy to change. Great value for the money. Would buy again.,20
positive,Works fine for me in my furnace humidifier. Great price.,20
positive,Worked great for my Norcold N611RT refrigerator. Worked in both freezer and fridge. Fit perfectly.,20
positive,I like the price.  This was for a washer drain pump.,20
negative,Just over a year old and the entire inside is filled with mold in places that I can not reach. Worked great until this happened,20
negative,"I have a Sears/Kenmore humidifier, and posted plainly on the humidifier is this model number. However, it's the right height, right width, but wrong length. The top rests on the filter. This filter, being too short, does not support the top. I need a filter, Model # 32-14912, that is 2.5 inches wide, 11 inches tall, and apparently, at least 12 inches long. These fllters are 6.5 inches long.  A decent picture accompanying this product would also be VERY helpful!",20
positive,Easy to install and work well,20
positive,The product appears to be well made. Super easy to use right out of the box! We’ve had it 4 days and it has made my husband super happy!I am using specially filtered water in hopes of improving the lifetime of the machine.,20
positive,Perfect fit for my piece of junk Samsung refrigerator.,20
positive,I like product because it fit what I order it for and fast delivery  thank u Amazon,20
positive,works great! my freezer is working again!,20
positive,Size is perfect for making paint thickness froth for cappuccinos and macchiatos.,20
positive,the cabinet hood is totally what i expected it to look like...it's perfect for my newly renovated kitchen..the stainless steel hood is easier to clean .,20
positive,"Love love love this little washer! Was recommended by a neighbor. If you live off grid with solar,  this is the washer for you!!!",20
positive,Boxes falling apart as I opened packaging. I had to tape the individual boxes that hold each filter. What’s up with that????,20
positive,igniter works great fits perfect  for my frigidaire stove/oven easy to install,20
positive,fast shipping...as described. fits our refrigerator fine..I was concerned that it might not fit our maytag ref but it did.,20
positive,I liked everything about what I purchase from Amazon have not had a problem at all,20
positive,"I really enjoy cooking with the Verona. Has so many functions that can accommodate every kind of recipe!!<br />It fit perfectly in the position that I needed. The customer service was outstanding!  I spoke with Robert several times and he was an absolutely wonderful person to talk with, felt like we became friends. Very, Very happy!!",20
positive,Arrived a day early and does exactly what it was designed to do.  Easy install.,20
positive,Came on time. Just as described. Works fabulous,20
positive,I have sulfur water which is very difficult to drink without a very good filter.  This refrigerator filter is doing a great job. I am very pleased with this purchase and will continue to order this product.,20
positive,"The thermal fuse worked perfect, however there was something bigger wrong with our dryer so it blew again a few days later. The price was good and delivery was fast.",20
positive,Just what I needed to fix our oven. Great price quick delivery,20
positive,Authentic GE replacement part at a better price.,20
positive,Ok for replacement parts,20
positive,Works just like it should very happy,20
positive,"I love these bowls and lids. This was my 2nd time purchasing these bowls, just needed a few more than I had. One bowl from the assorted set was cracked, told seller, sent pics and they sent another set! Very fast. Thanks so much. Will be purchasing from them again in the future.",20
positive,Good quality element and your installation video was a big help.,20
positive,its going to take a while its no surprise your only using 12v to heat its up trust me i work on electrical things,20
positive,Works as advertised!,20
positive,"Fits perfectly, the quality does seems to be better than the oem filter.",20
negative,"Hi,<br />Product was as expected just one minor item missing, no USB to make sure firmware upgrades to see new fan. Kind of disappointed!!",20
positive,Depending on the washer you own it can be tedious but definitely worth it. The hard part is getting to the part and putting the washer back together. Replacing the part itself took 2 screws and 2 twist-ties. Total time was about an hour and I had a working washer. To call a repair man would have been days to weeks of waiting plus the add expense of a laundromat. This was much cheaper and faster. Google and YouTube are your friends!,20
positive,Just the right size took longer than expected to get it delivered.,20
positive,"I needed a 6"" shift of my dryer vent and this did a good job I ended up twisting the corners to keep it from moving after installation. It's light weight but still working fine",20
positive,Arrived quickly. I have no idea how I lost my filter. I just know it will reappear one day soon but glad ro get a replacement at a reasonable price with a plunger to boot. Guess they like to wear out over time so I'm all set there when the time comes.,20
positive,"I like it, it will be bigger than now.",20
positive,The tabs on this plastic part have a tough job to do in the dishwasher (holding up the top rack) so it's no surprise when they break off. The replacement is simple so finding them on Amazon makes keeping a stable top rack easy.,20
positive,Perfect fit for my Keurig.  This piece should be inspected often for splitting and dirtiness. This was the absolute best price for these seals as well.,20
negative,Freezes beverages and never stops running.,20
positive,Perfect fit and function. Would highly recommend and will buy again if needed.,20
positive,Works great with the Bee House Ceramic Coffee Dripper!,20
positive,Works as it should.,20
positive,Great value,20
positive,Works well,20
positive,Works good  just expensive,20
positive,Great product.  Sound level about the same as a faucet running.  Had a problem with the hinge but seller took care of it immediately. Make ice very quickly.,20
positive,"[[VIDEOID:d4b930f8f0fa7ba032dbbb2b2ff75e78]] Updating my review here, I’ve had this dishwasher a little over 6 months now. Fits well in small spaces and is runs quietly. But recently I started getting E1 and E4. I was concerned maybe it was kicking the bucket on me, but after messing around with it I had to stop using detergents. Occasionally I add a little vinegar to water for cleaning., anyways it’s back up to running normally . I did attempt to go back to detergents but it happened again. I believe it’s the episom salt in the detergent clogging the line. This line is smaller then the bigger ones. Detergents harden which causes the error messages. I use a little bacon soda along with a few drops of dish  detergent works just as good to clean your dishes. Do not put more then a couple of drops or it will over sud. A few drops goes along way in dishwashers. Also make sure you get food out of dishes. I have had this dishwasher for more then a year now or going on two. It still working.",20
positive,Very good quality magnet,20
positive,"UPDATE. AT THE ONE YEAR POINT IT JUST DIED. JUST PAST THE WARRANTY OF COURSE. PICK SOMETHING ELSE. Makes consistent ice cubes in two sizes. I like how it looks in my countertop as well!! So far, so good!",20
positive,The product arrived on time and all seems well.  It took me a few tries to get it properly installed - it takes a little strength to get it in and turned.  Once installed it seems to be working fine.  Water is nice and clean.,20
negative,"The end of the wiring of the new motor fan didn’t fit on my hood vent, had to cut the end of the wiring on the old motor fan and tape it to the new motor fan so I could get it to work.<br /><br />Not ideal, all the numbers matched too and everything. But it works now after getting it installed.<br /><br />Update: Fan stopped working after less than 2 months, 1/5 stars.",20
negative,"I did not buy this washer from Amazon, I bought it from Home Depot but I feel compelled to write this review.  My purchase was made on July 4, 2020.  I did not receive the machine until September 16, 2020 due to backorder.  From soon after delivery date until present, it has leaked from the bottom 5 times.  LG sends a technician out to look at it and that's all that happens.  It doesn't leak when he is here so he says that he can't fix what he doesn't see.  Beware!  This machine is listed as DISCONTINUED on Home Depot's website however, I see it is still available at Best Buy, Sear's Outlet/American Freight, was available until today at Lowe's and still obviously available here at Amazon.  DISCONTINUED means the model had issues and when it needs parts, you will likely be told that LG doesn't manufacture that part anymore so too bad for you!  Stay away from this machine!",20
positive,"Bought this as a replacement for a similar style one-cup coffee maker.  The water doesn't drip through quite as rapidly, as the surface area of the base is not as large, but it works well.  Tip:  Don't be fooled into thinking you've got to use one of those cone-shaped coffee filters with this, however.  Just use a regular sized drip coffee maker filter, fold it in quarters, fit it into the plastic cone and open it, and add the coffee in one of the &#34;pockets.&#34;  So much more economical than those expensive name-brand filters.",20
positive,These are a direct fit in my fridge.  I would have paid $49 for ONE filter at a box store.  These four were slightly less.  Great product and great price.,20
positive,These replacement wheels work great. The old wheels are removed very easy and the new ones are installed very easy.,20
positive,As described,20
positive,Coffee brews thru better. Love them,20
negative,Came Broken!,20
positive,This is a nice coverup for my old dishwasher.,20
positive,"It seems like it's in defrost mode as much as it's making ice. I wanted to run it a few times before writing this. 2 hours gets you about half a basket of ice, it's better to transition it to the freezer once defrost mode kicks on or your ice will get wet or is in the process of melting, not sure which. You can tell by the sound the machine makes approximately when it's getting close to the defrost time.  It will make kind of a squeaking/strained noise.<br /><br />I like it because it means less ice trays in the freezer.  We did have to find an out of the way spot to run it because it's big, but since it can have a water supply or just filling the resivour, it can be placed just about anywhere.<br />I would recommend this for those who like nugget ice, I like it because I can have just ice with the squeeze flavor and it's like a snow cone in a cup.",20
positive,Just what I wanted. This is very sturdy and fits on my fridge shelf perfectly.,20
positive,"The filter fits more snugly than paper filters, but it works fine; there is no leakage.",20
positive,Perfect Fit/Easily Installed!,20
negative,Basket completely detached from handle/rim.,20
positive,"The Samsung stove/range nob cracked, so I got these replacements.  These nobs are dimensionally the same.  I can't tell the difference.  The only noticeable difference is the font of the words are slightly different, but not enough for me to care.  I just put the replacement nob in the center range.  The other plus is that these are beefier in the area where it had cracked earlier.  So i expect these to last for quite a while.  If not I got 3 extras.",20
positive,"Ordered as an alternative to original Kenmore replacement part. Snapped in with minimum effort. Worked like original. I've only been running it a week but, it's doing the job.",20
positive,"Perfect fit to replace the lid I cracked.<br />Not the exact color, but it does the job.<br />Who cares!!",20
negative,Hope it works.  Lots of dents & scratches. Even had to straighten out the door hinges & feet.,20
positive,Great price and seems like a quality replacement. Very happy with purchase.,20
positive,LOVE this sloth dishwasher indicator!!! Already has had many compliments!,20
positive,"This was a bit pricey,  but was a perfect fit and nice and sturdy.",20
positive,Great value and exact fit for our refrigerator.  Will purchase again when we need more!  Received promptly!,20
positive,The description says this is a full size refrigerator but that is not the case in my opinion. The dimensions listed in the add are correct and this fridge was what I was expecting.  I am running out of space in my garage and wanted to replace the full size fridge I had in the garage with this. We’ve been using it for the past 2 months and it has met our expectations.  Ours arrived in perfect condition and we are 100% satisfied.,20
positive,"Awesome, they work quite well.",20
positive,As listed. Nice high quality. Does not feel cheap or thin like some.,20
positive,Great price and easy install. Doesn’t block out everything that the high end name brands do. But bang for buck is good.,20
negative,I normally order this item and it lasts me for months . This was my first time ordering from this company and within a month my machine asking for it to be replaced . Be cautious there is a reason it’s less expensive,20
positive,"I am very picky about the things that I consume. I make cold brew coffee on a weekly schedule and much prefer it to hot brew. All of the coffee that i have used, both pre-ground and grinding at home, leaves a very fine powder in the coffee that creates a gritty feel to the beverage. This sifter does a much better job of removing these 'fines' than the K***e unit that I also have.<br />I would much appreciate a version of this sifter that had at least 2 and perhaps 8 times the capacity (I use 3 or 4 ounces, by weight, every time I  make cold brew and the time to sift that much coffee is unacceptable.",20
negative,"[[VIDEOID:1ecaf31cc9c46f0ef9e9046cdac15a0f]] It's really amazing how a company can produce such a flawed copy of such a simple part, but Supplying Demand has done it.<br />The door latch that comes in this kit is poorly manufactured. The tabs that are suppose to grab onto to housing flange and hold latch in place are not bent out enough. The latch easily slips out of the flange.<br />I tried to bend them out further and it broke. Supplying Demand sent me a replacement and it's exactly the same. DON'T waste your time on these.",20
positive,"Tends to over flow grounds into the coffee if you don't have the level JUST right. Otherwise, it's great for using non-Kcup coffee.",20
negative,Nice and flexible so it covers the gap well but the edges are not completely smooth all of the way which bothered me when I first saw it but decided to ignore it and keep it.,20
negative,RIP at 6 years.,20
negative,Seal is not very good.  causing ice to build up.,20
negative,"The thermal cut off was not as described. The description said it has a 352F cut off, but when it blew after a few minutes of drying I took it back out and realized it has a 309F cut off. Very dissapointed.",20
positive,Works great and cheap,20
negative,"Unfortunately, after only nine months, the label/writing is rubbing off around the temperature selectors.  Nothing abrasive was used--only dishwasher soap.  Very disappointing for this much money.  Will not purchase any GE products again.",20
positive,Quick and easy to use.,20
positive,Exactly what I was looking for,20
positive,I bought this for my son for Christmas who does not have a frig with an ice maker and was tired of ice trays taking up room in his freezer.  It is the neatest thing.  It really works.  He loves it.,20
positive,"These are great quality and quite durable.<br />Easy to clean and good for countless uses.<br />The fine gold filter will stand up to any coffee grind, but liked the box says, the finer the better.<br />This is also the best way to have your favorite (non-covered) coffee from a Keurig, or if your office doesn't carry your brand.<br />There's no waste with this and your ground can easily be dumped into compost or whatever.",20
positive,No problems.  Works great.,20
positive,Fit our microwave nicely and replaced our broken OEM one<br />It is as pictured,20
negative,"I bought this and it stopped working about 2 months after purchasing it. I attempted to return however I found it difficult to communicate with the vendor. I have not been able to get help with repair, replacement or refund. Waste of money. Do not buy",20
negative,died after 1 year and 10 months.  No warranty past 1 year.  I will look closer at warranties from now on.  No more Kitchen Aid in this kitchen- they have really gone downhill.,20
positive,Great machine. I bought it to wash my newborn baby’s clothes and so far i love it!!,20
positive,"Love this!  No more filling icecube trays!<br />The down side is that it doesn't keep the ice frozen. Ice is very soft and wet, so that when you put it into the freezer it all sticks together.",20
negative,"this was a replacement , for the one that came broken. this one stop working after 6 week. to bad for me,so be careful buying this unit",20
negative,Didn't fit my fridge even though it said it would. Numbers matched and everything. You win some you lose some I guess,20
positive,"Liked the price, quality and fast delivery.",20
positive,Easy to replace old part. Very strong and durable.,20
positive,"I really like these reusable Keurig pods. I have an old Keurig so they fit no problem. I do like also how this brand has the mesh underneath on the bottom. A lot of the other companies do not have that. Love the pack of four, it’s a great price, I definitely recommend!",20
positive,Hose works as advertised. Great addition to vacuum cleaner hose to clean dryer vents as well as other hard to reach places. Universal attachment.,20
positive,works and fit perfectly,20
positive,"Simple and cost-effective solution to the problem of securing the dishwasher to a granite countertop. I didn't expect much when I ordered it but was pleasantly surprised that the bracket is MUCH sturdier than I thought. Overall there are no frills to it, it just does the job.",20
negative,"I purchased this filter on March 8,18 and it stopped filtration of water on my fridge, which caused me to have to buy another one on April 25, 18. This product did not last the 6 months as advertised.",20
positive,"It works great, we all chipped in at work to buy it. So far it's working great, it does some weird sounds sometimes. But we have our fingers crossed that it will last.",20
positive,Works great.,20
positive,Works as expected.,20
negative,"It doesn't make good coffee. I've tried packing the coffee grounds more and less and not at all, I've tried different coarseness of grind, and I've tried different amounts of water. Nothing will make this thing produce good coffee. It is always just dirty looking water coming out with little flavor. This pod also causes an error on my nespesso machine about every third time I try it, and the machine has a hard time ejecting the pod about half the time. The machine makes great coffee with the original single use pods, and i was hoping to have a reusable pod that I could add my own grounds too. This product doesn't produce satisfactory results for me.",20
negative,Wasnt easy to install but great for saving money not having to buy bottle waters all the time taste clean like bottle waters,20
positive,As someone who spends a lot of time outdoors I needed a product to replace my french press so I didn’t have to lug that around on every trip. I’ve used this twice so far to test it out before going outdoors with it and I’m very pleased with it. It is very easy to use and clean. The coffee turned out turned out great!,20
positive,"Yes, it is a bulb for an oven so it is different but that price is too high. It illuminates well. The old bulb had been out for a while so it is nice to see what is going on in the oven.",20
positive,So I did have an issue with the unit it did leak some water so I contacted the seller several times and unfortunately he does not respond at all so you're really on your own with this unit. It turns out what I think happened is it might have overfilled however everything else is really good on it it's quality machine it works well it washes well but don't expect a response from the seller should you have a problem!!,20
positive,The filter fits my refrigerator and works great. Easy to install and the product came quickly.  I am Very happy!!,20
positive,Perfect fit for my dryer and was easy to install,20
positive,I used these to fix my washing machine myself and so far everything is working great!,20
positive,Great,20
positive,Receptacles work perfectly. Ceramic material is the best for these applications. They also arrived promptly and come in a very nice package.,20
positive,Is a good product and easy to install worked as advertised,20
positive,worked like the original one easy and fast isntall.,20
negative,I would not recommend getting this machine. When it is making ice it is extremely loud and runs for several hours.<br /><br />Wish I never bought this machine- save your money,20
negative,"This screen is smaller than the original, leaving a quite noticeable gap at the bottom edge (noticed while lint screen housing assembly was removed during service). This gap will allow lint to easily bypass the screen and possibly cause issues (clogged dryer vent, etc...). I will be ordering an oem lint screen as soon as possible.",20
positive,Muy buenos,20
positive,"I've used these for several years now (see below notes on how they have ""finally gotten it right"").  This review amendment is to detail how to USE them really, really fast ... without bothering with a special ""holder"" and a ""brush"" - both of which I myself tried to invent when I first started using MyCaps..<br /><br />.......................... USING MyCaps Efficiently ...........................................<br /><br />1 - hold a cup in hand and overfill with spoonful of grounds<br />2 - gently tap edges of rim to perfectly clear over-fill so rim is clean<br />3 - set cup aside and fill as many more as needed<br />4 - position foil atop cup, gently pressing foil across width of cup<br />5 - gently press across perpendicularly to first gentle press and adjust so foil is even all around<br /><br />NOTE: you will NEVER get perfect covering (I've tried and tried and tried)<br /><br />6 - with cup on counter still ... gently press MyCap foil to secure it across the cup on just one spot L and R ... then turn cup 90 degrees and gently press the other 2 sides on just one spot L & R<br />7 - with cup in one hand fold, over the rest of foil - NO NEED to press hard!<br />8 - firmly in one hand, score the foil firmly around the entire rim of the cup using FINGER NAIL.<br /><br />The last step is the most important and the ONLY thing you really need to worry about doing firmly since that is what makes an air-tight seal.<br /><br />The result may look a little sloppy (I never bother to press under the edge at all). But as long as you have scored around the edge completely you are good!<br /><br />...............................................................<br /><br />The new version of My-Cap makes refilling so easy. Used to be there were 2 serious problems:<br /><br />- the foil was too large. folding it over evenly every time was about impossible (I tried hundreds of times!). if not folded correctly, the crimped-under foil sometimes obscured part of the barcode and the pod would simply fail to work at all. VERY annoying!<br /><br />- foil sometimes would not peel off. so they added a tab and the problem goes away entirely. actually I did figure out how to peel before the tab was added but it was tricky. at one point I simply threw out a batch off foils since they were stuck to waxed paper so tightly  - could not peel off until I figured out how to ""massage"" the foil/waxed paper so as to get a fingernail hold and peel.<br /><br />Now BOTH problems have been addressed and the My-Caps work every time!<br /><br />Bravo, My-Cap company.",20
positive,"We have a very large family, and a 6 month filter for us only last 45-60, these filters were a true blessing, a fraction of the cost, and the water tastes so much better, score for us because we are on well water and any positive to the taste we are taking it!!! Will be buying all future filters from here!!",20
negative,"Like others have commented, I do not think this is worth the $50. I purchased the one that fit my gas range but it still shifts and allows food to drip onto the stove top. The material is very thin and slippery (slides around on the stove top). I would not purchase again.",20
positive,Good price. Saved a lot of money over buying them in the store. Did what they are supposed to do. Would purchase again when needed.,20
positive,The most wonderful coffee I’ve ever tasted coming from this little press.<br /> Nothing compares to the quality of coffee you get from this machine.<br />Absolutely wonderful I will never drink coffee from any other machine after drinking from the aeropress.,20
positive,"We've been using the K cups with coffee already in them.  Although we've been purchasing off brand coffee K cups the coffee seemed bitter and we didn't know what the package the coffee was in contained, toxins, etc.  This stainless steel container is sturdy and you can put as much coffee as you want according to its size.  I prefer a little less coffee.  It's easily cleaned.  You do have to wait until it cools before the next person uses it.  I highly recommend this product.  My mom even purchased one after I told her about it.  All in all,  I think that you'll save money using this product.",20
positive,These work perfectly. They look like the ones I had for my original keurig but some slight modifications make them work in my 2.0. And they are pink.,20
positive,I always use the disposable drip pan liner so that my stove burners look clean. They fit good.,20
positive,Great product great service,20
positive,Very easy to install,20
negative,This pump lasted about 2 weeks before it broke down. A terrible product. DO not buy it. Waste of money.,20
positive,It was quite at first but got noisy later they should let people know to put cold water in it and it would made ice faster.,20
positive,Strong plastic. Fit perfectly.,20
positive,"Love the value, value and great purchase. Much appreciated present.",20
positive,It's perfect!,20
positive,Water tastes better.  Quality,20
negative,Makes water come out slow. Would NOT buy again. Already having to replace. Waste of money.,20
positive,Excellent,20
positive,Works for my application.,20
positive,just right,20
negative,Chinese manufacturers built this thing without any Place to put soap.. They literally expect you to do dishes without using soap. AMAZING.,20
positive,Looked identical to the one I took out. Hope it lasts longer. The dishwasher wasn't even 2 years old.,20
positive,It went together securely,20
positive,"Much more affordable filter for our LG French door fridge. Took a bit to install, but that is more the design of our fridge than the filter. Good value.",20
negative,I loved this product while it was working. One day it just stopped working less than a year of purchase.,20
positive,They seem to work ok.,20
negative,Stopped working in less then a year.,20
negative,My freezer conked out after one year.<br />Since it was in the garage I did not notice it for 2 days.<br />Lost $300 worth of food I had frozen.<br />More than the cost of the freezer.,20
positive,Nice,20
positive,I am very satisfied with the re-order of my Vicks & Kaz humidifier refill pack. They came right away and fit perfectly. I would definitely order this again from this supplier.,20
positive,Purchased to replace the cracked foot bin. Seems sturdy and great replacement part.,20
negative,They were a great price but too tall for my father’s humidifier machine. I had to cut off approx. 1/4” so the cover would fit.,20
negative,"This product worked for a month but then the screw either popped out or broke and now the wheel does not stay in the track.  This dishwasher has been very frustrating.  The first 2 times this part broke, we bought a much cheaper part.  Those broke after about a month each time we replaced it.  After that part broke 2 times, we decided to buy this more expensive replacement part.  Unfortunately, this part broke after only a month.  In addition, the other 3 screws are completely rusted for the other wheels.",20
negative,"Showed up broken in a smashed box with no padding or packing around it in the box. Box was about three times bigger than the part. Only a small piece of webbing was broke out, so we decided to gamble and keep it rather than deal with the return process. Otherwise it is an exact fit and fits our Kenmore refrigerator perfectly.",20
positive,Arrived on time.  Good product for the price.  These smaller 4 cup filters are sometimes hard to find in stores.  Our coffee make had their small basket so the big ones don’t work.  These Junior Filters are exactly what we needed.<br /><br />Note: These are “Junior” filters for the smaller basket coffee makers.  They are Melitta brand although the picture online did not show the bag.,20
positive,Delivered and received as ordered.  Product installed perfectly and worked great.  Our water actually tastes much better.  Will definitely reorder from here again.,20
